TIERRECHTSKONGRESS 2026 — STUNDENPLAN,,
,,
LEGENDE,,
🐄 Yvonne (kleiner Raum) — Milchkuh aus Bayern. Entkam 2011 dem Schlachthof und lebte 3 Monate frei im Wald. Symbol für Lebenswillen und Selbstbestimmung.,,
🦧 Sandra (grosser Raum) — Orang-Utan-Dame. 2014 in Argentinien als erste «nicht-menschliche Person» juristisch anerkannt. Meilenstein der Tierrechtsgeschichte.,,
,,
🎨 Graphic Recording (alle 3 Tage): Michael Meier (Denkpinsel),,
⭐ = besondere Zugkraft / bekannte:r Speaker:in,,
📌 = kann nur an diesem Tag (Wunschtag laut Anmeldung),,
🇬🇧 = Beitrag auf Englisch,,
☕ = Pause,,
(o. Aufz.) = ohne Videoaufzeichnung,,
,,
,,
FREITAG,🐄 Yvonne (klein),🦧 Sandra (gross)
10:30 – 11:30,Aufbau & Vorbereitung,Aufbau & Vorbereitung
14:00 – 15:00,,Begrüssung und Einlass
15:00 – 16:00,📌 Werbemist — Laura B. + Joëlle N. (Sentience),Auslaufinitiative (Sentience)
16:00 – 17:00,Anja Glivar — Wirksamer Aktivismus,⭐ Anna Schubert — Versteckte Kameras (ARIWA)
17:00 – 18:00,📌 Sara Tscholl — Orang-Utan-Rehab. (o. Aufz.),⭐📌 Philipp Ryf — Polit. Fortschritt (STS)
18:00 – 19:00,📌 Josephine Cornes — TSB/AWF (EN?),⭐ Nico Müller — Ende der Tierversuche (Uni BS)
19:00 - 20:30,zNacht,
20:30 - 22:00,,Abendprogramm
,,
,,
SAMSTAG,🐄 Yvonne (klein),🦧 Sandra (gross)
08:00 – 09:00,Vorbereitung,
09:00 – 09:30,,Begrüssung und Einlass
09:30 – 10:30,Luca,Tier im Recht
10:30 – 11:30,📌 Maya Conoci — Tierethikunterricht,Céline Schlegel — Aktivismuspyramide (ARS)
11:30 – 12:30,Nathalie — Sea Shepherd,Florian Sisolefski — TransFARMation
12:30 – 14:00,☕ Mittagspause,
14:00 – 15:00,Chantal Senn — Plant Based Universities,The Marker — Lost in Transit (Ann-Kathrin + Tobias)
15:00 – 16:00,Nina Bachellerie — Stadttauben,Tobi Sennhauser
16:00 – 16:30,☕ Kaffeepause,
16:30 – 17:30,📌 Ralf Assmann — Workshop kreativer Protest,⭐📌 Meret Schneider — Politik für Tiere (NR Grüne)
17:30 – 18:30,Lubomir Yotov — C-Label (Swissveg),⭐📌 Rebecca Loviconi 🇬🇧 — Storytelling for Animals
18:30 - 20:00,zNacht,
ab 20:00,,Abendprogramm
,,
,,
SONNTAG,🐄 Yvonne (klein),🦧 Sandra (gross)
08:00 – 09:00,Vorbereitung,
09:00 – 11:00,,Gemeinsames Frühstück
11:00 – 12:00,Valentina Zibung — Tierrettungen (Hof Narr),"⭐ Beat Mumenthaler — Wir wissen, was wir tun"
12:00 – 13:00,Monika — Vegane Oase,⭐ Tobi Rosswog — Kreativ intervenieren
13:00 – 14:00,☕ Mittagspause,
14:00 – 15:00,Alice Fauconnet 🇬🇧 — Animal Liberation & Cheese (New Roots),Mirjam Walser — KI & Tiere
15:00 – 16:00,⭐ Patricia Patsch — Auslandstierschutz,⭐ Renato Pichler — V-Label (Swissveg)
16:00 – 17:00,,🎨 Abschluss & Graphic Summary — Michael Meier (Denkpinsel)
ab 17:00,Abbau & Aufräumen,
